trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220536-001-000-45,O-20260308-220552-001-000-46,SELL,FLAT,0,1,1773007536899160089,2026-03-08 22:05:36.899160089+00:00,1773007552587402346,2026-03-08 22:05:52.587402346+00:00,15688242257,6684.75,6685.5,['0.00 USD'],-0.00011,-0.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220552-001-000-47,O-20260308-220557-001-000-48,BUY,FLAT,0,1,1773007552587402346,2026-03-08 22:05:52.587402346+00:00,1773007557912930971,2026-03-08 22:05:57.912930971+00:00,5325528625,6685.5,6688.25,['0.00 USD'],0.00041,2.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220557-001-000-49,O-20260308-220623-001-000-50,SELL,FLAT,0,1,1773007557912930971,2026-03-08 22:05:57.912930971+00:00,1773007583617088584,2026-03-08 22:06:23.617088584+00:00,25704157613,6688.25,6684.5,['0.00 USD'],0.00056,3.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220623-001-000-51,O-20260308-220630-001-000-52,BUY,FLAT,0,1,1773007583617088584,2026-03-08 22:06:23.617088584+00:00,1773007590831709572,2026-03-08 22:06:30.831709572+00:00,7214620988,6684.5,6684.75,['0.00 USD'],4e-05,0.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220630-001-000-53,O-20260308-220634-001-000-54,SELL,FLAT,0,1,1773007590831709572,2026-03-08 22:06:30.831709572+00:00,1773007594847163527,2026-03-08 22:06:34.847163527+00:00,4015453955,6684.75,6683.0,['0.00 USD'],0.00026,1.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220634-001-000-55,O-20260308-220638-001-000-56,BUY,FLAT,0,1,1773007594847163527,2026-03-08 22:06:34.847163527+00:00,1773007598617316387,2026-03-08 22:06:38.617316387+00:00,3770152860,6683.0,6681.75,['0.00 USD'],-0.00019,-1.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220638-001-000-57,O-20260308-220640-001-000-58,SELL,FLAT,0,1,1773007598617316387,2026-03-08 22:06:38.617316387+00:00,1773007600981714431,2026-03-08 22:06:40.981714431+00:00,2364398044,6681.75,6681.25,['0.00 USD'],7e-05,0.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220640-001-000-59,O-20260308-220643-001-000-60,BUY,FLAT,0,1,1773007600981714431,2026-03-08 22:06:40.981714431+00:00,1773007603474451595,2026-03-08 22:06:43.474451595+00:00,2492737164,6681.25,6681.0,['0.00 USD'],-4e-05,-0.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220643-001-000-61,O-20260308-220649-001-000-62,SELL,FLAT,0,1,1773007603474451595,2026-03-08 22:06:43.474451595+00:00,1773007609915777289,2026-03-08 22:06:49.915777289+00:00,6441325694,6681.0,6677.5,['0.00 USD'],0.00052,3.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220649-001-000-63,O-20260308-220717-001-000-64,BUY,FLAT,0,1,1773007609915777289,2026-03-08 22:06:49.915777289+00:00,1773007637308895248,2026-03-08 22:07:17.308895248+00:00,27393117959,6677.5,6689.0,['0.00 USD'],0.00172,11.50 USD,True
