trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-222739-001-000-111,O-20260308-223042-001-000-112,BUY,FLAT,0,1,1773008859210576637,2026-03-08 22:27:39.210576637+00:00,1773009042912388358,2026-03-08 22:30:42.912388358+00:00,183701811721,6674.0,6683.0,['0.00 USD'],0.00135,9.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-223058-001-000-114,O-20260308-223101-001-000-115,SELL,FLAT,0,1,1773009058062472031,2026-03-08 22:30:58.062472031+00:00,1773009061681602245,2026-03-08 22:31:01.681602245+00:00,3619130214,6683.0,6683.0,['0.00 USD'],0.0,0.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-223101-001-000-116,O-20260308-223131-001-000-117,BUY,FLAT,0,1,1773009061681602245,2026-03-08 22:31:01.681602245+00:00,1773009091184415500,2026-03-08 22:31:31.184415500+00:00,29502813255,6683.0,6682.5,['0.00 USD'],-7e-05,-0.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-223131-001-000-118,O-20260308-223209-001-000-119,SELL,FLAT,0,1,1773009091184415500,2026-03-08 22:31:31.184415500+00:00,1773009129469355830,2026-03-08 22:32:09.469355830+00:00,38284940330,6682.5,6681.25,['0.00 USD'],0.00019,1.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-223209-001-000-120,O-20260308-223352-001-000-121,BUY,FLAT,0,1,1773009129469355830,2026-03-08 22:32:09.469355830+00:00,1773009232944220514,2026-03-08 22:33:52.944220514+00:00,103474864684,6681.25,6687.0,['0.00 USD'],0.00086,5.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-223352-001-000-122,O-20260308-223406-001-000-123,SELL,FLAT,0,1,1773009232944220514,2026-03-08 22:33:52.944220514+00:00,1773009246253808121,2026-03-08 22:34:06.253808121+00:00,13309587607,6687.0,6686.5,['0.00 USD'],7e-05,0.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-223406-001-000-124,O-20260308-223434-001-000-125,BUY,FLAT,0,1,1773009246253808121,2026-03-08 22:34:06.253808121+00:00,1773009274840949139,2026-03-08 22:34:34.840949139+00:00,28587141018,6686.5,6686.5,['0.00 USD'],0.0,0.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-223434-001-000-126,O-20260308-223454-001-000-127,SELL,FLAT,0,1,1773009274840949139,2026-03-08 22:34:34.840949139+00:00,1773009294739812637,2026-03-08 22:34:54.739812637+00:00,19898863498,6686.5,6686.75,['0.00 USD'],-4e-05,-0.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-223454-001-000-128,O-20260308-223532-001-000-129,BUY,FLAT,0,1,1773009294739812637,2026-03-08 22:34:54.739812637+00:00,1773009332326497234,2026-03-08 22:35:32.326497234+00:00,37586684597,6686.75,6688.0,['0.00 USD'],0.00019,1.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-223532-001-000-130,O-20260308-223556-001-000-131,SELL,FLAT,0,1,1773009332326497234,2026-03-08 22:35:32.326497234+00:00,1773009356819279667,2026-03-08 22:35:56.819279667+00:00,24492782433,6688.0,6687.25,['0.00 USD'],0.00011,0.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-223556-001-000-132,O-20260308-223624-001-000-133,BUY,FLAT,0,1,1773009356819279667,2026-03-08 22:35:56.819279667+00:00,1773009384366094015,2026-03-08 22:36:24.366094015+00:00,27546814348,6687.25,6689.25,['0.00 USD'],0.0003,2.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-223643-001-000-135,O-20260308-223742-001-000-136,SELL,FLAT,0,1,1773009403608544795,2026-03-08 22:36:43.608544795+00:00,1773009462328873253,2026-03-08 22:37:42.328873253+00:00,58720328458,6688.25,6685.0,['0.00 USD'],0.00049,3.25 USD,True
